mode,sample,launches_per_event_interval,first,fe2o3_us,hipblaslt_us
synchronized_latency,263,1,hipblaslt,6.48,10.84
synchronized_latency,264,1,fe2o3,9.64,8.04
synchronized_latency,265,1,hipblaslt,6.44,7.8
synchronized_latency,266,1,fe2o3,6.84,8.48
synchronized_latency,267,1,hipblaslt,6.52,7.8
synchronized_latency,268,1,fe2o3,6.52,8.04
synchronized_latency,269,1,hipblaslt,6.52,7.84
synchronized_latency,270,1,fe2o3,6.48,7.84
synchronized_latency,271,1,hipblaslt,6.36,7.84
synchronized_latency,272,1,fe2o3,6.56,7.84
synchronized_latency,273,1,hipblaslt,6.48,7.76
synchronized_latency,274,1,fe2o3,6.48,7.72
synchronized_latency,275,1,hipblaslt,6.48,7.92
synchronized_latency,276,1,fe2o3,6.52,7.92
synchronized_latency,277,1,hipblaslt,6.36,7.76
synchronized_latency,278,1,fe2o3,6.44,7.84
synchronized_latency,279,1,hipblaslt,6.48,7.64
synchronized_latency,280,1,fe2o3,6.64,7.92
synchronized_latency,281,1,hipblaslt,6.6,7.96
synchronized_latency,282,1,fe2o3,6.48,7.96
synchronized_latency,283,1,hipblaslt,6.6,7.92
synchronized_latency,284,1,fe2o3,6.48,7.921
synchronized_latency,285,1,hipblaslt,6.4,8.12
synchronized_latency,286,1,fe2o3,6.48,7.92
synchronized_latency,287,1,hipblaslt,6.52,7.92
synchronized_latency,288,1,fe2o3,6.48,8.04
synchronized_latency,289,1,hipblaslt,6.48,8.12
synchronized_latency,290,1,fe2o3,10.96,7.64
synchronized_latency,291,1,hipblaslt,8.76,7.76
synchronized_latency,292,1,fe2o3,6.36,7.84
synchronized_latency,293,1,hipblaslt,10.48,8.08
synchronized_latency,294,1,fe2o3,7.32,7.76
synchronized_latency,295,1,hipblaslt,6.52,7.92
synchronized_latency,296,1,fe2o3,6.52,7.88
synchronized_latency,297,1,hipblaslt,6.44,7.8
synchronized_latency,298,1,fe2o3,6.48,7.8
synchronized_latency,299,1,hipblaslt,6.4,8.6
synchronized_latency,300,1,fe2o3,6.4,7.8
synchronized_latency,301,1,hipblaslt,6.44,7.76
synchronized_latency,302,1,fe2o3,6.44,7.84
synchronized_latency,303,1,hipblaslt,6.4,7.84
synchronized_latency,304,1,fe2o3,6.36,7.84
synchronized_latency,305,1,hipblaslt,6.4,7.72
synchronized_latency,306,1,fe2o3,6.56,7.88
synchronized_latency,307,1,hipblaslt,6.52,7.68
synchronized_latency,308,1,fe2o3,6.56,7.92
synchronized_latency,309,1,hipblaslt,6.36,7.76
synchronized_latency,310,1,fe2o3,6.4,7.8
synchronized_latency,311,1,hipblaslt,6.48,7.84
synchronized_latency,312,1,fe2o3,6.44,7.92
synchronized_latency,313,1,hipblaslt,6.52,8
synchronized_latency,314,1,fe2o3,6.4,8.48
synchronized_latency,315,1,hipblaslt,6.44,7.88
synchronized_latency,316,1,fe2o3,6.36,7.96
synchronized_latency,317,1,hipblaslt,6.48,7.84
synchronized_latency,318,1,fe2o3,8.481,7.92
synchronized_latency,319,1,hipblaslt,6.56,8.8
synchronized_latency,320,1,fe2o3,6.48,7.84
synchronized_latency,321,1,hipblaslt,8.32,8.16
synchronized_latency,322,1,fe2o3,7.2,8.04
synchronized_latency,323,1,hipblaslt,6.44,8.04
synchronized_latency,324,1,fe2o3,6.48,7.96
synchronized_latency,325,1,hipblaslt,6.48,7.96
synchronized_latency,326,1,fe2o3,6.44,7.84
synchronized_latency,327,1,hipblaslt,6.32,7.76
synchronized_latency,328,1,fe2o3,6.52,8
synchronized_latency,329,1,hipblaslt,6.6,7.881
synchronized_latency,330,1,fe2o3,6.52,8.04
synchronized_latency,331,1,hipblaslt,6.52,7.76
synchronized_latency,332,1,fe2o3,6.4,7.96
synchronized_latency,333,1,hipblaslt,11.72,7.72
synchronized_latency,334,1,fe2o3,6.4,7.88
synchronized_latency,335,1,hipblaslt,8.08,14.68
synchronized_latency,336,1,fe2o3,6.56,20.32
synchronized_latency,337,1,hipblaslt,8.76,8.88
synchronized_latency,338,1,fe2o3,6.4,8.96
synchronized_latency,339,1,hipblaslt,6.8,10.521
synchronized_latency,340,1,fe2o3,6.36,9.32
synchronized_latency,341,1,hipblaslt,6.48,8.56
synchronized_latency,342,1,fe2o3,6.44,17.32
synchronized_latency,343,1,hipblaslt,9.48,7.76
synchronized_latency,344,1,fe2o3,6.44,10.12
synchronized_latency,345,1,hipblaslt,11,8
synchronized_latency,346,1,fe2o3,6.28,9.32
synchronized_latency,347,1,hipblaslt,15.08,8
synchronized_latency,348,1,fe2o3,6.6,8.08
synchronized_latency,349,1,hipblaslt,7.44,8.04
synchronized_latency,350,1,fe2o3,6.56,8.88
synchronized_latency,351,1,hipblaslt,7.96,12.72
synchronized_latency,352,1,fe2o3,7.4,8.6
synchronized_latency,353,1,hipblaslt,9.28,18.8
synchronized_latency,354,1,fe2o3,7.96,12.8
synchronized_latency,355,1,hipblaslt,8.6,20.16
synchronized_latency,356,1,fe2o3,7.76,11.12
synchronized_latency,357,1,hipblaslt,8.04,7.96
synchronized_latency,358,1,fe2o3,7.6,15.56
synchronized_latency,359,1,hipblaslt,8.8,8.64
synchronized_latency,360,1,fe2o3,6.76,9.72
synchronized_latency,361,1,hipblaslt,8.52,11.52
synchronized_latency,362,1,fe2o3,7.8,16.24
synchronized_latency,363,1,hipblaslt,8.04,17.36
synchronized_latency,364,1,fe2o3,8.56,16.16
synchronized_latency,365,1,hipblaslt,7.24,15.04
synchronized_latency,366,1,fe2o3,8.32,15.32
synchronized_latency,367,1,hipblaslt,9.24,16.68
synchronized_latency,368,1,fe2o3,6.44,11.16
synchronized_latency,369,1,hipblaslt,10.68,8.96
synchronized_latency,370,1,fe2o3,6.56,18.56
synchronized_latency,371,1,hipblaslt,8.16,12.36
synchronized_latency,372,1,fe2o3,13.28,13.84
synchronized_latency,373,1,hipblaslt,10.72,8.76
synchronized_latency,374,1,fe2o3,8.48,22.76
synchronized_latency,375,1,hipblaslt,9.44,16.4
synchronized_latency,376,1,fe2o3,6.56,28.48
synchronized_latency,377,1,hipblaslt,13.04,17.2
synchronized_latency,378,1,fe2o3,6.44,11.16
synchronized_latency,379,1,hipblaslt,16,8.08
synchronized_latency,380,1,fe2o3,6.44,16.88
synchronized_latency,381,1,hipblaslt,9.24,11
synchronized_latency,382,1,fe2o3,8.24,18.52
synchronized_latency,383,1,hipblaslt,8.36,8.24
synchronized_latency,384,1,fe2o3,6.6,16.16
